"","iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million"
"1","AFG","Asia","Afghanistan","2020-10-20",40287,87,51.286,1497,5,2.429,1034.902,2.235,1.317,38.455,0.128,0.062
"2","ALB","Europe","Albania","2020-10-20",17350,295,254.286,454,3,4.286,6028.911,102.509,88.361,157.759,1.042,1.489
"3","DZA","Africa","Algeria","2020-10-20",54616,214,198.714,1865,9,8,1245.489,4.88,4.532,42.53,0.205,0.182
"4","AND","Europe","Andorra","2020-10-20",3623,246,89.714,62,3,0.714,46890.571,3183.848,1161.125,802.433,38.827,9.245
"5","AGO","Africa","Angola","2020-10-20",7622,160,179.429,247,6,4.143,231.91,4.868,5.459,7.515,0.183,0.126
"6","AIA","North America","Anguilla","2020-10-20",3,0,0,NA,0,0,199.973,0,0,NA,0,0
"7","ATG","North America","Antigua and Barbuda","2020-10-20",119,0,1.143,3,0,0,1215.178,0,11.67,30.635,0,0
"8","ARG","South America","Argentina","2020-10-20",1002649,12982,14133.143,26716,449,361.429,22184.573,287.239,312.709,591.117,9.935,7.997
"9","ARM","Asia","Armenia","2020-10-20",65460,766,1127.714,1091,10,8.429,22090.729,258.501,380.569,368.179,3.375,2.844
"10","ABW","North America","Aruba","2020-10-20",4334,12,19.571,34,0,0.286,40593.447,112.395,183.311,318.453,0,2.676
"11","AUS","Oceania","Australia","2020-10-20",27399,9,16.143,905,1,1,1074.476,0.353,0.633,35.49,0.039,0.039
"12","AUT","Europe","Austria","2020-10-20",66611,1054,1431.429,919,9,7.143,7395.963,117.028,158.935,102.039,0.999,0.793
"13","AZE","Asia","Azerbaijan","2020-10-20",45295,331,455.857,630,4,3,4467.326,32.646,44.96,62.135,0.395,0.296
"14","BHS","North America","Bahamas","2020-10-20",5773,70,87.143,123,1,2.143,14680.304,178.005,221.598,312.78,2.543,5.449
"15","BHR","Asia","Bahrain","2020-10-20",78224,322,325.143,302,2,3.143,45971.31,189.236,191.083,177.482,1.175,1.847
"16","BGD","Asia","Bangladesh","2020-10-20",390206,1637,1495.429,5681,21,18,2369.345,9.94,9.08,34.495,0.128,0.109
"17","BRB","North America","Barbados","2020-10-20",222,0,2,7,0,0,772.521,0,6.96,24.359,0,0
"18","BLR","Europe","Belarus","2020-10-20",88290,592,613.143,933,4,4.571,9343.528,62.65,64.888,98.737,0.423,0.484
"19","BEL","Europe","Belgium","2020-10-20",261018,15127,11003.857,10499,50,35.571,22521.713,1305.22,949.458,905.897,4.314,3.069
"20","BLZ","North America","Belize","2020-10-20",2833,20,37.714,45,1,1.143,7124.875,50.299,94.85,113.173,2.515,2.874
"21","BEN","Africa","Benin","2020-10-20",2496,0,12.143,41,0,0,205.886,0,1.002,3.382,0,0
"22","BMU","North America","Bermuda","2020-10-20",185,0,0.143,9,0,0,2970.79,0,2.294,144.525,0,0
"23","BTN","Asia","Bhutan","2020-10-20",330,3,3,NA,0,0,427.676,3.888,3.888,NA,0,0
"24","BOL","South America","Bolivia","2020-10-20",139890,119,170.714,8502,21,25.143,11984.036,10.194,14.625,728.346,1.799,2.154
"25","BES","North America","Bonaire Sint Eustatius and Saba","2020-10-20",150,0,0,3,1,0.143,5720.606,0,0,114.412,38.137,5.448
"26","BIH","Europe","Bosnia and Herzegovina","2020-10-20",34661,1100,546.286,997,17,8.714,10564.753,335.283,166.509,303.888,5.182,2.656
"27","BWA","Africa","Botswana","2020-10-20",5609,367,110.857,21,1,0.143,2385.159,156.062,47.141,8.93,0.425,0.061
"28","BRA","South America","Brazil","2020-10-20",5250727,15383,21045.571,154176,271,498.143,24702.397,72.37,99.01,725.331,1.275,2.344
"29","VGB","North America","British Virgin Islands","2020-10-20",72,1,0.143,1,0,0,2381.189,33.072,4.725,33.072,0,0
"30","BRN","Asia","Brunei","2020-10-20",147,0,0.143,3,0,0,336.013,0,0.327,6.857,0,0
"31","BGR","Europe","Bulgaria","2020-10-20",30527,1024,791.143,1008,22,13.286,4393.357,147.371,113.859,145.068,3.166,1.912
"32","BFA","Africa","Burkina Faso","2020-10-20",2387,6,13.286,65,0,0.286,114.193,0.287,0.636,3.11,0,0.014
"33","BDI","Africa","Burundi","2020-10-20",549,7,3.429,1,0,0,46.17,0.589,0.288,0.084,0,0
"34","KHM","Asia","Cambodia","2020-10-20",285,2,0.286,NA,0,0,17.047,0.12,0.017,NA,0,0
"35","CMR","Africa","Cameroon","2020-10-20",21506,65,43.286,424,1,0.143,810.145,2.449,1.631,15.972,0.038,0.005
"36","CAN","North America","Canada","2020-10-20",201437,3289,2656.857,9778,18,21.571,5337.188,87.144,70.395,259.074,0.477,0.572
"37","CPV","Africa","Cape Verde","2020-10-20",7800,48,92.143,87,1,1.714,14029.08,86.333,165.728,156.478,1.799,3.083
"38","CYM","North America","Cayman Islands","2020-10-20",235,2,2,1,0,0,3575.776,30.432,30.432,15.216,0,0
"39","CAF","Africa","Central African Republic","2020-10-20",4856,1,0.286,62,0,0,1005.432,0.207,0.059,12.837,0,0
"40","TCD","Africa","Chad","2020-10-20",1390,11,11.714,93,0,0.143,84.623,0.67,0.713,5.662,0,0.009
"41","CHL","South America","Chile","2020-10-20",493305,1545,1488.143,13676,41,42.429,25805.587,80.821,77.847,715.414,2.145,2.22
"42","CHN","Asia","China","2020-10-20",91006,34,25.143,4739,0,0,63.228,0.024,0.017,3.293,0,0
"43","COL","South America","Colombia","2020-10-20",965883,6311,6685.714,29102,132,159.571,18982.474,124.03,131.394,571.941,2.594,3.136
"44","COM","Africa","Comoros","2020-10-20",502,0,1,7,0,0,577.28,0,1.15,8.05,0,0
"45","COG","Africa","Congo","2020-10-20",5156,0,5.429,92,0,0.286,934.381,0,0.984,16.672,0,0.052
"46","CRI","North America","Costa Rica","2020-10-20",97075,1561,1121.714,1204,21,13.714,19056.307,306.432,220.198,236.351,4.122,2.692
"47","CIV","Africa","Cote d'Ivoire","2020-10-20",20324,1,24.143,121,0,0.143,770.483,0.038,0.915,4.587,0,0.005
"48","HRV","Europe","Croatia","2020-10-20",25973,393,764.571,374,11,6.714,6326.749,95.731,186.242,91.102,2.679,1.636
"49","CUB","North America","Cuba","2020-10-20",6258,38,36.857,127,2,0.571,552.504,3.355,3.254,11.213,0.177,0.05
