"","Ticker","Date","Open","High","Low","Close","Volume","Close_d1","rt"
"1","FLC",2011-10-06,7.4306,7.4306,7.4306,7.4315,1100,8.0799,-0.0836517736119815
"2","FLC",2011-10-07,7.9293,7.9293,7.8795,7.9302,181500,7.4315,0.0649505334028663
"3","FLC",2011-10-10,8.428,8.4779,8.1288,8.4789,120300,7.9302,0.0669024683990253
"4","FLC",2011-10-11,8.3782,8.5278,8.0291,8.4789,143300,8.4789,0
"5","FLC",2011-10-12,7.7797,8.1288,7.7797,7.9801,134200,8.4789,-0.0606297816971826
"6","FLC",2011-10-13,8.2286,8.3283,7.4805,7.631,44700,7.9801,-0.0447320444040256
"7","FLC",2011-10-14,7.4805,7.7299,7.3808,7.3816,79500,7.631,-0.0332284810252872
"8","FLC",2011-10-17,6.9818,6.9818,6.9818,6.9826,5000,7.3816,-0.0555690770294853
"9","FLC",2011-10-18,6.533,6.533,6.533,6.5337,6500,6.9826,-0.066447941810188
"10","FLC",2011-10-19,6.0841,6.9818,6.0841,6.1347,248800,6.5337,-0.0630122212307942
"11","FLC",2011-10-20,5.7351,6.3834,5.7351,6.3841,50500,6.1347,0.0398493469734854
"12","FLC",2011-10-21,6.4831,6.4831,6.0343,6.035,17200,6.3841,-0.0562346696357321
"13","FLC",2011-10-24,6.3335,6.3335,5.9844,6.0848,43800,6.035,0.00821800364236342
"14","FLC",2011-10-25,6.134,6.134,5.8847,5.9352,33700,6.0848,-0.0248931322986791
"15","FLC",2011-10-26,5.9345,5.9345,5.8348,5.8355,11300,5.9352,-0.0169407740229078
"16","FLC",2011-10-27,5.9844,5.9844,5.6852,5.6858,22500,5.8355,-0.0259881133719404
"17","FLC",2011-10-28,5.5356,6.3335,5.5356,5.9851,169300,5.6858,0.0513012088097822
"18","FLC",2011-10-31,5.9345,6.1839,5.5356,5.7357,112300,5.9851,-0.0425632466337824
"19","FLC",2011-11-01,5.9345,5.9345,5.5356,5.5362,61900,5.7357,-0.0354014558439026
"20","FLC",2011-11-02,5.6852,5.6852,5.3361,5.3367,37200,5.5362,-0.0367008604132312
"21","FLC",2011-11-03,5.0369,5.0369,5.0369,5.0374,39600,5.3367,-0.0577174084580568
"22","FLC",2011-11-04,4.6878,5.386,4.6878,5.3367,765400,5.0374,0.0577174084580567
"23","FLC",2011-11-07,5.5356,5.5854,5.3361,5.5861,231200,5.3367,0.0456738848431524
"24","FLC",2011-11-08,5.7351,5.7351,5.2364,5.3866,191600,5.5861,-0.0363669811497196
"25","FLC",2011-11-09,5.3361,5.5854,5.2364,5.3866,385800,5.3866,0
"26","FLC",2011-11-10,5.386,5.386,5.0867,5.1871,253500,5.3866,-0.0377396139605558
"27","FLC",2011-11-11,5.386,5.6353,5.1366,5.3367,377500,5.1871,0.0284327102671232
"28","FLC",2011-11-14,5.1366,5.4857,5.0867,5.1372,448400,5.3367,-0.0380993004604331
"29","FLC",2011-11-15,5.4358,5.4358,4.987,5.2868,317200,5.1372,0.028704963944751
"30","FLC",2011-11-16,4.7875,5.4857,4.7875,5.2868,486700,5.2868,0
"31","FLC",2011-11-17,5.3361,5.5356,5.2364,5.2868,448700,5.2868,0
"32","FLC",2011-11-18,5.3361,5.6353,5.2364,5.4863,312600,5.2868,0.0370409277705868
"33","FLC",2011-11-21,5.4857,5.6353,5.2862,5.636,232100,5.4863,0.0269205183643323
"34","FLC",2011-11-22,5.5854,5.9345,5.5854,5.9352,252600,5.636,0.0517261318567452
"35","FLC",2011-11-23,6.1839,6.2836,6.1839,6.2843,151900,5.9352,0.0571537336534713
"36","FLC",2011-11-24,6.6327,6.6826,6.6327,6.6833,218300,6.2843,0.0615574179942084
