Z1,Z2,y
-1.059179955,4.374055534,2
8.836694756,-2.51975803,1
-5.624122339,-4.361103272,0
8.677841184,-4.055787509,1
8.430579894,-3.811466387,1
-10.44227587,-0.907647951,0
8.178814492,-5.556219587,1
9.149243441,-4.007828092,1
-4.332287435,4.022740389,2
8.96615566,-3.692886562,1
9.455239211,-3.953556061,1
4.8265981,2.406316306,2
-12.12626652,-7.447967526,0
8.024798539,-0.85338034,1
8.938396896,-4.449098209,1
9.534591034,-3.907337149,1
-2.704837037,11.39009946,2
6.60982141,1.744938751,2
-2.736998851,4.865397618,2
-1.353910103,3.185159799,2
10.01844064,-2.039132187,1
8.208453325,-0.270897403,1
7.352966839,-3.2339727,1
8.105920856,-4.148461968,1
8.983375252,-2.967331734,1
7.204174174,3.010915533,2
-3.659648333,-5.499209031,0
9.566484601,-3.343273189,1
-2.852128666,4.917192732,2
6.491306804,5.045849813,2
4.153354702,0.129870793,2
8.453345592,-5.202915117,1
-16.35754866,-7.838934474,0
9.142512735,0.864367057,2
3.941452639,5.260831876,2
-7.28272861,7.353643357,2
6.434231434,-1.515943127,1
-13.11194202,-4.496911599,0
8.720273171,-4.220670967,1
7.405165793,-1.502152314,1
-5.18249763,2.578207819,2
9.737261381,-3.049288224,1
9.501564766,-4.302142621,1
9.524635945,-4.765776823,1
-12.94253307,10.62731992,2
6.027452301,7.945761045,2
-15.03347943,-10.61732929,0
8.724232438,-1.706148732,1
4.588238323,10.91269957,2
-10.48422265,-2.888129161,0
-16.70215769,-10.43274305,0
8.333223519,-4.726527896,1
-10.81783483,-8.951860248,0
7.968781299,-2.542930546,1
1.016973539,-1.281310306,2
2.891210029,11.85541032,2
1.229496831,15.18943874,2
9.178869779,-4.651884256,1
9.40404029,-5.089257108,1
-14.36915877,-4.146368634,0
8.388792979,-5.094324809,1
-6.969010901,-5.437529725,0
7.474972524,-1.595087859,1
-8.149646711,-7.256066229,0
8.317002179,-4.635681946,1
-14.95629508,12.31877608,0
9.139744608,-4.848313355,1
-3.834297856,-1.88019874,2
6.481477352,-2.157761352,1
1.670321392,1.833622109,2
9.434652299,-3.397070381,1
8.273028925,-3.70826623,1
7.057355423,-7.303197517,1
-0.579266095,0.358451194,0
-19.02987709,12.15873795,0
5.404140564,4.48329652,2
8.902197867,-4.483043993,1
-12.4445941,-9.769765333,0
0.984676588,2.161791693,2
5.296506757,-0.982733126,1
-0.289603791,-0.519635604,2
-8.436419701,3.029865043,0
-9.896507292,-4.875216525,0
-15.08087093,-3.221375754,0
