"","person_age","person_income","person_home_ownership","person_emp_length","loan_intent","loan_grade","loan_amnt","loan_int_rate","loan_status","loan_percent_income","cb_person_default_on_file","cb_person_cred_hist_length"
"1",21,9600,"OWN",5,"EDUCATION","B",1000,11.14,"0",0.1,"N",2
"2",25,9600,"MORTGAGE",1,"MEDICAL","C",5500,12.87,"1",0.57,"N",3
"3",23,65500,"RENT",4,"MEDICAL","C",14473.2104420012,15.23,"1",0.53,"N",2
"4",24,54400,"RENT",8,"MEDICAL","C",14952.9561072844,14.27,"1",0.55,"Y",4
"5",21,9900,"OWN",2,"VENTURE","A",2500,7.14,"1",0.25,"N",2
"6",26,77100,"RENT",8,"EDUCATION","B",26240.7784764066,12.42,"1",0.45,"N",3
"7",24,78956,"RENT",5,"MEDICAL","B",20558.5276599058,11.11,"1",0.44,"N",4
"8",24,83000,"RENT",8,"PERSONAL","A",14819.0464113733,8.9,"1",0.42,"N",2
"9",21,10000,"OWN",6,"VENTURE","D",1600,14.74,"1",0.16,"N",3
"10",22,85000,"RENT",6,"VENTURE","B",19978.5462830801,10.37,"1",0.41,"N",4
"11",21,10000,"OWN",2,"HOMEIMPROVEMENT","A",4500,8.63,"1",0.45,"N",2
"12",23,95000,"RENT",2,"VENTURE","A",17435.8930819298,7.9,"1",0.37,"N",2
"13",26,108160,"RENT",4,"EDUCATION","E",3381.26037915424,18.39,"1",0.32,"N",4
"14",23,115000,"RENT",2,"EDUCATION","A",22527.68754959,7.9,"0",0.3,"N",4
"15",23,137568.364509545,"MORTGAGE",7,"DEBTCONSOLIDATION","B",21886.7449231252,10.65,"0",0.06,"N",3
"16",23,120000,"RENT",0,"EDUCATION","A",20947.5407756532,7.9,"0",0.29,"N",4
"17",23,92111,"RENT",7,"MEDICAL","F",23190.7820828497,20.25,"1",0.32,"N",4
"18",23,113000,"RENT",8,"DEBTCONSOLIDATION","D",20391.8734839801,18.25,"1",0.31,"N",4
"19",24,10800,"MORTGAGE",8,"EDUCATION","B",1750,10.99,"1",0.16,"N",2
"20",25,158691.424590601,"RENT",2,"VENTURE","A",27754.8041352293,7.49,"0",0.22,"N",4
"21",25,137000,"RENT",9,"PERSONAL","E",23857.9601271935,16.77,"0",0.25,"Y",2
"22",22,65000,"RENT",4,"EDUCATION","D",18464.7764939102,17.58,"1",0.52,"N",4
"23",24,10980,"OWN",0,"PERSONAL","A",1500,7.29,"0",0.14,"N",3
"24",22,80000,"RENT",3,"PERSONAL","D",18899.0670126772,14.54,"1",0.42,"Y",4
"25",24,67746,"RENT",8,"HOMEIMPROVEMENT","C",14774.0622736817,12.68,"1",0.49,"N",3
"26",21,11000,"MORTGAGE",3,"VENTURE","E",4575,17.74,"1",0.42,"Y",3
"27",23,11000,"OWN",0,"PERSONAL","A",1400,9.32,"0",0.13,"N",3
"28",24,65000,"RENT",6,"HOMEIMPROVEMENT","B",10319.1390646991,9.99,"1",0.5,"N",3
"29",21,11389,"OTHER",5,"EDUCATION","C",4000,12.84,"1",0.35,"Y",2
"30",21,11520,"OWN",5,"MEDICAL","B",2000,11.12,"1",0.17,"N",3
"31",25,120000,"RENT",2,"VENTURE","A",23283.005724359,6.62,"0",0.27,"N",2
"32",26,95000,"RENT",7,"HOMEIMPROVEMENT","C",28556.7037844896,14.17,"1",0.33,"Y",3
"33",25,140783.959622707,"RENT",2,"DEBTCONSOLIDATION","C",21199.8529341895,13.85,"0",0.08,"N",3
"34",26,98026.9041520436,"MORTGAGE",10,"MEDICAL","C",7800,13.49,"0",0.03,"N",4
"35",21,12000,"OWN",5,"EDUCATION","A",2500,7.51,"1",0.21,"N",4
